City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Yellowknife,CA,62.456,-114.3525,245.05,71,75,1.54,broken clouds
80,Hamilton,US,39.1834,-84.5333,271.51,59,20,2.57,few clouds
81,Arlit,NE,18.7369,7.3853,297.41,9,0,3.06,clear sky
82,Magsaysay,PH,6.7667,125.1833,297.58,90,92,0.52,overcast clouds
83,Nizhneudinsk,RU,54.9076,99.0276,243.36,99,70,1.37,broken clouds
84,Kruisfontein,ZA,-34.0033,24.7314,292.42,87,58,3.56,broken clouds
85,Clyde River,CA,70.4692,-68.5914,242.28,69,0,6.69,clear sky
86,Vaini,TO,-21.2,-175.2,299.24,89,20,2.57,few clouds
87,Hermanus,ZA,-34.4187,19.2345,296.98,82,14,6.73,few clouds
88,Mehamn,NO,71.0357,27.8492,267.25,79,0,8.23,clear sky
89,Beloha,MG,-25.1667,45.05,297.63,86,17,7.4,few clouds
90,Hilo,US,19.7297,-155.09,292.73,81,20,3.09,few clouds
91,Hobyo,SO,5.3505,48.5268,298.26,73,50,6.88,scattered clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,301.13,86,100,3.13,overcast clouds
93,Carauari,BR,-4.8828,-66.8958,299.87,91,100,1.28,moderate rain
94,Mogapi,BW,-22.323,27.8349,296.87,36,89,3.28,overcast clouds
95,Kodiak,US,57.79,-152.4072,270.88,86,0,3.09,clear sky
96,Saint-Philippe,RE,-21.3585,55.7679,299.92,87,36,4.19,scattered clouds
97,Port Alfred,ZA,-33.5906,26.891,295.95,85,86,3.3,overcast clouds
98,Alofi,NU,-19.0595,-169.9187,296.09,94,100,2.06,overcast clouds
99,Alice Springs,AU,-23.7,133.8833,289.9,72,0,2.06,clear sky
100,Nikolskoye,RU,59.7035,30.7861,273.55,93,100,5.81,light snow
101,Victoria,HK,22.2855,114.1577,288.84,90,100,1.34,light rain
102,Arraial Do Cabo,BR,-22.9661,-42.0278,300.13,74,40,7.2,scattered clouds
103,Cedar City,US,37.6775,-113.0619,282.81,35,0,0.0,clear sky
104,Dikson,RU,73.5069,80.5464,253.42,87,100,11.64,overcast clouds
105,Sobolevo,RU,54.4299,31.8996,269.23,85,84,5.96,broken clouds
106,Huarmey,PE,-10.0681,-78.1522,298.68,69,15,5.22,few clouds
107,Hobart,AU,-42.8794,147.3294,290.07,82,75,7.72,broken clouds
108,College,US,64.8569,-147.8028,260.32,83,100,0.0,light snow
109,Tromso,NO,69.6496,18.957,268.16,74,75,4.63,broken clouds
110,Synya,RU,65.3718,58.0387,261.53,94,98,2.99,overcast clouds
111,Yambio,SS,4.5721,28.3955,302.37,27,49,1.56,scattered clouds
112,Salinopolis,BR,-0.6136,-47.3561,299.82,83,97,3.56,overcast clouds
113,Arman,RU,59.7,150.1667,249.22,80,20,3.95,few clouds
114,Cockburn Town,TC,21.4612,-71.1419,298.54,80,1,8.55,clear sky
115,Humaita,BR,-7.5061,-63.0208,300.11,88,100,1.69,overcast clouds
116,Nouadhibou,MR,20.931,-17.0347,295.14,64,63,7.72,broken clouds
117,Bud,US,39.447,-86.1758,269.5,61,40,2.84,scattered clouds
118,Bethel,US,41.3712,-73.414,272.92,79,100,4.47,snow
119,Port Hedland,AU,-20.3167,118.5667,302.18,79,40,3.09,scattered clouds
120,Cherskiy,RU,68.75,161.3,244.64,98,100,3.56,overcast clouds
121,Mackay,AU,-21.15,149.2,298.14,73,40,10.29,scattered clouds
122,Acara,BR,-1.9608,-48.1967,299.18,93,98,0.33,overcast clouds
123,Banjar,ID,-8.19,114.9675,299.07,91,100,1.24,overcast clouds
124,Panama City,PA,8.9936,-79.5197,307.69,52,20,3.6,few clouds
125,Manaus,BR,-3.1019,-60.025,301.43,78,75,1.54,moderate rain
126,Bengkulu,ID,-3.8004,102.2655,298.22,89,100,2.15,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,292.11,68,74,1.6,broken clouds
128,Kendari,ID,-3.945,122.4989,296.72,93,100,2.01,overcast clouds
129,Qaqortoq,GL,60.7167,-46.0333,270.43,88,100,5.29,overcast clouds
130,Saskylakh,RU,71.9167,114.0833,246.69,84,47,1.64,scattered clouds
131,Vostok,RU,46.4856,135.8833,257.12,98,100,0.6,overcast clouds
132,Muros,ES,42.7762,-9.0603,285.98,75,69,9.77,broken clouds
133,Hilton Head Island,US,32.2163,-80.7526,289.82,73,75,2.24,broken clouds
134,Constitucion,CL,-35.3333,-72.4167,293.61,70,63,4.58,broken clouds
135,Esperance,AU,-33.8667,121.9,288.06,73,0,5.52,clear sky
136,Pacific Grove,US,36.6177,-121.9166,295.69,68,0,0.89,clear sky
137,Moron,AR,-34.6534,-58.6198,299.71,33,20,5.66,few clouds
138,Lorengau,PG,-2.0226,147.2712,300.01,78,99,1.02,overcast clouds
139,Jimma,ET,7.6667,36.8333,293.28,46,42,0.65,scattered clouds
140,Tynda,RU,55.1667,124.7167,244.67,97,77,1.14,broken clouds
141,Kirkenaer,NO,60.4564,12.0582,278.86,92,100,4.71,overcast clouds
142,Pevek,RU,69.7008,170.3133,245.79,98,100,4.06,overcast clouds
143,Whitehorse,CA,60.7161,-135.0538,261.58,85,75,1.54,broken clouds
144,Pauini,BR,-7.7136,-66.9764,305.38,53,91,1.49,moderate rain
145,Stonewall,CA,50.1344,-97.3268,253.7,95,100,7.04,light snow
146,Fez,MA,34.0372,-4.9998,292.21,22,0,2.06,clear sky
147,Wadi Maliz,TN,36.4681,8.5495,286.96,70,100,1.31,overcast clouds
148,Atambua,ID,-9.1061,124.8925,296.18,89,88,1.03,overcast clouds
149,Hutang,CN,31.5333,119.4833,273.22,89,78,1.32,broken clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,293.16,64,0,4.02,light rain
151,Hervey Bay,AU,-25.2986,152.8535,293.21,77,24,7.73,few clouds
152,Hasaki,JP,35.7333,140.8333,275.53,95,100,14.81,light rain
153,Bakchar,RU,57.0186,82.0711,262.06,94,100,3.47,overcast clouds
154,Ojinaga,MX,29.5667,-104.4167,287.36,37,0,0.0,clear sky
155,Karpathos,GR,35.507,27.2132,286.13,82,40,6.69,scattered clouds
156,Binga,ZW,-17.6203,27.3414,297.45,73,22,2.23,few clouds
157,Padang,ID,-0.9492,100.3543,298.2,85,100,1.69,overcast clouds
158,Shirokiy,RU,49.758,129.523,255.56,98,100,1.37,overcast clouds
159,Avera,US,33.194,-82.5271,286.17,38,100,6.32,overcast clouds
160,Verkhnevilyuysk,RU,63.4453,120.3167,244.62,100,99,0.9,overcast clouds
161,Rawson,AR,-43.3002,-65.1023,304.77,21,9,8.24,clear sky
162,Cidreira,BR,-30.1811,-50.2056,296.12,85,91,5.22,overcast clouds
163,Constantine,DZ,36.365,6.6147,283.82,57,40,1.54,scattered clouds
164,Ixtapa,MX,20.7,-105.2,304.98,19,92,2.24,overcast clouds
165,Olyka,UA,50.7186,25.8125,273.67,69,46,4.33,scattered clouds
166,Nsanje,MW,-16.92,35.262,297.12,96,100,1.22,overcast clouds
167,Leningradskiy,RU,69.3833,178.4167,245.56,94,95,2.59,overcast clouds
168,Chumikan,RU,54.7183,135.315,248.6,93,93,2.09,overcast clouds
169,Saint-Joseph,RE,-21.3667,55.6167,299.36,86,30,4.71,scattered clouds
170,Begamganj,IN,23.6,78.3333,289.26,28,0,2.08,clear sky
171,East London,ZA,-33.0153,27.9116,295.67,94,75,5.66,broken clouds
172,Polyarnyy,RU,69.1989,33.4478,262.41,71,99,4.04,overcast clouds
173,Dicabisagan,PH,17.0818,122.4157,297.31,87,93,2.91,overcast clouds
174,Riyadh,SA,24.6877,46.7219,289.23,28,0,3.62,clear sky
175,Craigieburn,AU,-37.6,144.95,293.03,54,0,3.6,clear sky
176,Ankazobe,MG,-18.3167,47.1167,292.38,81,97,1.4,light rain
177,Hisai,JP,34.6667,136.4667,280.04,94,100,3.61,light rain
178,Taltal,CL,-25.4,-70.4833,295.3,68,1,4.09,clear sky
179,Provideniya,RU,64.3833,-173.3,247.75,94,17,1.72,few clouds
180,Kirakira,SB,-10.4544,161.9205,299.29,84,99,3.76,overcast clouds
181,Noshiro,JP,40.2039,140.0242,267.83,78,81,2.64,broken clouds
182,Northam,GB,51.0333,-4.2167,283.94,96,100,7.61,overcast clouds
183,Sovetskiy,RU,61.3614,63.5842,248.87,100,69,1.01,broken clouds
184,Gavrilovka Vtoraya,RU,52.877,42.7663,269.21,94,99,4.75,overcast clouds
185,Laela,TZ,-8.5667,32.05,288.87,95,100,1.17,light rain
186,Kachiry,KZ,53.0675,76.1036,258.84,93,88,5.94,overcast clouds
187,Namie,JP,37.4833,141.0,275.8,82,100,4.5,overcast clouds
188,Yar-Sale,RU,66.8333,70.8333,250.47,94,100,4.02,overcast clouds
189,Whitecourt,CA,54.1502,-115.6855,274.73,60,40,4.63,scattered clouds
190,Mogadouro,PT,41.3403,-6.7119,280.25,91,100,6.57,overcast clouds
191,Glubokiy,RU,48.5217,40.3258,271.89,89,6,3.31,clear sky
192,Yerbogachen,RU,61.2767,108.0108,239.19,100,88,1.5,overcast clouds
193,Qaanaaq,GL,77.484,-69.3632,251.27,94,100,1.02,overcast clouds
194,Bonavista,CA,48.6499,-53.1147,278.15,67,100,7.6,overcast clouds
195,Saint George,US,37.1041,-113.5841,289.56,26,0,0.0,clear sky
196,Amga,RU,60.8953,131.9608,248.51,99,100,0.2,overcast clouds
197,Touros,BR,-5.1989,-35.4608,304.65,63,6,5.89,clear sky
198,Agadez,NE,19.75,10.25,292.14,13,3,2.55,clear sky
199,Zhuji,CN,29.7188,120.2423,279.2,96,100,1.03,overcast clouds
200,Port Lincoln,AU,-34.7333,135.8667,291.86,88,42,5.28,scattered clouds
201,Beringovskiy,RU,63.05,179.3167,239.92,97,10,2.38,clear sky
202,Khatanga,RU,71.9667,102.5,241.93,92,88,1.46,overcast clouds
203,Baiao,BR,-2.7906,-49.6717,297.51,89,100,1.11,overcast clouds
204,Emilio Carranza,MX,19.9711,-96.6114,289.99,64,72,11.01,broken clouds
205,Valence,ES,39.4697,-0.3774,289.1,71,75,1.03,broken clouds
206,Magrath,CA,49.4167,-112.8686,281.33,42,87,1.03,overcast clouds
207,Buraydah,SA,26.326,43.975,288.4,25,0,2.95,clear sky
208,Male,MV,4.1748,73.5089,301.12,78,75,6.69,broken clouds
209,Dingle,PH,10.9995,122.6711,296.91,92,97,2.88,overcast clouds
210,Saldanha,ZA,-33.0117,17.9442,297.18,88,15,10.72,few clouds
211,Husavik,IS,66.0449,-17.3389,255.1,80,15,6.09,few clouds
212,Nizhniy Ingash,RU,56.2,96.53,250.82,93,14,3.22,few clouds
213,Imbituba,BR,-28.24,-48.6703,303.09,58,4,6.86,clear sky
214,Buckeye,US,33.3703,-112.5838,296.09,15,0,7.72,clear sky
215,Faanui,PF,-16.4833,-151.75,300.42,74,100,6.66,overcast clouds
216,Venado Tuerto,AR,-33.7456,-61.9688,298.65,18,0,1.14,clear sky
217,Skaerbaek,DK,55.1573,8.769,278.09,69,100,9.57,overcast clouds
218,Luderitz,NA,-26.6481,15.1594,296.96,63,4,6.44,clear sky
219,San Quintin,MX,30.4833,-115.95,296.96,18,46,1.12,scattered clouds
220,Charyshskoye,RU,51.3978,83.5598,264.62,87,99,2.12,overcast clouds
221,Harper,LR,4.375,-7.7169,300.4,75,88,3.33,overcast clouds
222,Geraldton,AU,-28.7667,114.6,296.38,88,100,3.09,overcast clouds
223,Vila,PT,42.0304,-8.1588,280.78,92,100,4.63,light rain
224,Hetauda,NP,27.4284,85.0322,287.79,84,27,1.43,scattered clouds
225,Beatrice,US,40.2681,-96.747,271.41,46,0,5.14,clear sky
226,Perpignan,FR,42.75,2.75,286.95,60,0,8.23,clear sky
227,Bedele,ET,8.456,36.353,293.51,39,72,2.95,broken clouds
228,Severo-Kurilsk,RU,50.6789,156.125,267.37,71,20,3.85,few clouds
229,Babol,IR,36.5513,52.679,284.14,82,75,3.09,broken clouds
230,Nuuk,GL,64.1835,-51.7216,261.49,92,100,5.14,light snow
231,Conde,BR,-7.2597,-34.9075,303.85,62,40,5.66,scattered clouds
232,Juneau,US,58.3019,-134.4197,275.28,98,100,0.0,fog
233,Bandipur,NP,27.9333,84.4167,281.86,83,6,1.06,clear sky
234,Glyadyanskoye,RU,54.9075,65.0883,260.49,95,89,2.86,overcast clouds
235,Jawhar,SO,2.7809,45.5005,297.9,71,93,7.0,overcast clouds
236,Yeppoon,AU,-23.1333,150.7333,295.03,80,47,7.71,scattered clouds
237,Mulege,MX,26.8833,-111.9833,297.36,27,93,4.0,overcast clouds
238,Abreus,CU,22.2775,-80.5675,303.32,41,16,3.83,few clouds
239,Jaque,PA,7.5175,-78.1703,300.84,76,85,2.7,light rain
240,Chlorakas,CY,34.8042,32.4083,286.72,77,3,4.21,clear sky
241,Souillac,MU,-20.5167,57.5167,300.57,89,75,5.14,broken clouds
242,Ribeira Grande,PT,38.5167,-28.7,290.37,59,75,4.12,broken clouds
243,Klyuchevsk,RU,57.1216,60.9414,267.11,98,99,1.23,overcast clouds
244,Aguia Branca,BR,-18.9831,-40.7403,301.42,66,69,1.92,broken clouds
245,Belyy Yar,RU,53.6039,91.3903,241.4,56,29,1.0,fog
246,Taunggyi,MM,20.7833,97.0333,282.5,50,16,0.41,few clouds
247,Clonakilty,IE,51.6231,-8.8706,280.42,78,50,5.44,scattered clouds
248,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,298.61,84,86,2.98,overcast clouds
249,Aswan,EG,24.0934,32.907,295.76,24,0,3.6,clear sky
250,Guiyang,CN,26.5833,106.7167,278.42,81,100,2.0,overcast clouds
251,Isangel,VU,-19.55,169.2667,299.03,89,82,2.85,broken clouds
252,Chuy,UY,-33.6971,-53.4616,296.38,37,2,6.35,clear sky
253,Raudeberg,NO,61.9875,5.1352,277.52,94,100,2.24,moderate rain
254,Kahului,US,20.8947,-156.47,295.84,89,40,1.54,light rain
255,Clarence Town,AU,-32.5833,151.7833,291.93,82,61,1.36,broken clouds
256,Katangli,RU,51.7102,143.2326,249.64,98,54,3.11,broken clouds
257,Amurrio,ES,43.05,-3.0,288.94,72,100,7.99,overcast clouds
258,Uribia,CO,11.7139,-72.266,305.57,36,41,11.42,scattered clouds
259,Lagoa,PT,39.05,-27.9833,286.85,63,79,3.42,broken clouds
260,Longyearbyen,SJ,78.2186,15.6401,263.06,85,75,2.57,light snow
261,Kaabong,UG,3.4836,34.1492,296.65,35,76,4.4,broken clouds
262,Yanai,JP,33.9667,132.1167,279.15,83,100,4.92,overcast clouds
263,Bandarbeyla,SO,9.4942,50.8122,297.5,64,63,8.53,broken clouds
264,Fukue,JP,32.6881,128.8419,284.75,69,100,9.28,overcast clouds
265,Oktyabrskiy,RU,54.4815,53.471,266.06,94,100,2.79,light snow
266,Maragogi,BR,-9.0122,-35.2225,302.78,63,10,6.45,clear sky
267,Teguise,ES,29.0605,-13.564,292.27,60,20,7.72,few clouds
268,Omsukchan,RU,62.5333,155.8,239.0,100,39,1.59,scattered clouds
269,Margate,GB,51.3813,1.3862,282.21,84,100,4.92,light rain
270,Lebu,CL,-37.6167,-73.65,292.3,70,98,5.61,overcast clouds
271,Alta Gracia,AR,-31.6529,-64.4283,300.68,42,0,3.86,clear sky
272,Maracaibo,VE,10.6317,-71.6406,304.63,48,19,0.92,few clouds
273,Kinston,US,35.2627,-77.5816,282.68,57,0,5.14,clear sky
274,Sisimiut,GL,66.9395,-53.6735,259.68,95,100,13.09,light snow
275,Gizo,SB,-8.103,156.8419,300.3,78,62,2.07,light rain
276,Ahipara,NZ,-35.1667,173.1667,290.65,64,27,3.86,scattered clouds
277,Sunrise Manor,US,36.2111,-115.0731,293.28,18,0,1.54,clear sky
278,Zhicheng,CN,30.2956,111.5047,278.06,91,17,0.54,few clouds
279,Hualmay,PE,-11.0964,-77.6139,298.04,69,11,5.44,few clouds
280,Denpasar,ID,-8.65,115.2167,298.96,94,40,1.03,scattered clouds
281,Calama,CL,-22.4667,-68.9333,296.42,18,0,11.32,clear sky
282,Carlagan,PH,14.975,122.0456,298.05,85,84,4.48,broken clouds
283,Berlevag,NO,70.8578,29.0864,266.15,80,96,4.65,overcast clouds
284,Serra,BR,-20.1286,-40.3078,304.85,55,40,5.14,scattered clouds
285,Mayumba,GA,-3.432,10.6554,299.3,83,93,2.28,overcast clouds
286,Ketchikan,US,55.3422,-131.6461,277.14,100,100,0.0,light rain
287,Stonehaven,GB,56.9637,-2.2118,279.55,97,100,3.47,light rain
288,Thompson,CA,55.7435,-97.8558,250.24,70,100,2.06,overcast clouds
289,Narsaq,GL,60.9167,-46.05,270.27,92,100,4.4,overcast clouds
290,Cradock,ZA,-32.1642,25.6192,296.5,64,79,3.42,broken clouds
291,Zeya,RU,53.75,127.2667,256.9,92,100,1.96,overcast clouds
292,Rudnyy,KZ,52.9594,63.1206,263.36,96,100,2.65,overcast clouds
293,Vanimo,PG,-2.6741,141.3028,298.71,87,51,2.99,broken clouds
294,Severodvinsk,RU,64.5635,39.8302,256.21,91,38,3.86,scattered clouds
295,Carutapera,BR,-1.195,-46.02,300.45,80,80,3.32,moderate rain
296,Brae,GB,60.3964,-1.353,279.1,86,92,3.06,overcast clouds
297,Buenos Aires,AR,-34.6132,-58.3772,300.33,35,0,3.09,clear sky
298,Sao Francisco De Paula,BR,-29.4481,-50.5836,297.19,83,73,2.4,broken clouds
299,Iskateley,RU,67.6803,53.1512,256.39,97,89,3.91,overcast clouds
300,Dzaoudzi,YT,-12.7887,45.2699,299.09,89,0,0.0,clear sky
301,Mende,FR,44.6667,3.5,274.9,93,100,5.17,light snow
302,Severo-Yeniseyskiy,RU,60.3725,93.0408,247.68,96,64,2.28,broken clouds
303,Codajas,BR,-3.8367,-62.0569,299.17,93,100,1.12,light rain
304,Guerrero Negro,MX,27.9769,-114.0611,297.08,28,35,1.64,scattered clouds
305,Dunedin,NZ,-45.8742,170.5036,285.26,79,57,1.34,broken clouds
306,Nanortalik,GL,60.1432,-45.2371,271.82,80,100,4.17,overcast clouds
307,Los Llanos De Aridane,ES,28.6585,-17.9182,291.01,70,20,4.63,few clouds
308,Neiva,CO,2.9273,-75.2819,305.09,48,40,1.54,scattered clouds
309,Brownwood,US,31.7093,-98.9912,287.9,26,0,4.63,clear sky
310,Oyon,PE,-10.6681,-76.7731,284.18,65,68,2.07,broken clouds
311,Leshukonskoye,RU,64.8989,45.7622,262.36,97,99,2.07,overcast clouds
312,Martapura,ID,-3.4167,114.85,299.2,89,100,1.54,overcast clouds
313,Tura,IN,25.5198,90.2201,285.98,68,0,1.97,clear sky
314,Slave Lake,CA,55.2834,-114.769,272.14,74,40,3.6,scattered clouds
315,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,261.48,57,75,4.0,broken clouds
316,Aitape,PG,-3.1374,142.3475,298.2,90,59,2.05,broken clouds
317,Yantal,RU,56.8471,105.2542,240.52,100,43,1.51,scattered clouds
318,Abapo,BO,-18.8333,-63.4667,299.83,41,98,0.23,overcast clouds
319,Aykhal,RU,66.0,111.5,250.49,52,0,0.71,clear sky
320,Gadsden,US,34.0143,-86.0066,279.07,37,0,5.66,clear sky
321,Russell,US,32.3502,-85.1999,285.03,30,0,7.2,clear sky
322,Nakhon Si Thammarat,TH,8.25,100.0,300.4,91,80,1.41,broken clouds
323,Mandera,KE,3.9366,41.867,303.45,18,90,4.57,overcast clouds
324,Guaruja,BR,-23.9931,-46.2564,306.93,69,100,3.09,overcast clouds
325,Kaitangata,NZ,-46.2817,169.8464,280.19,95,31,1.42,scattered clouds
326,Buin,CL,-33.7333,-70.75,302.07,20,0,4.62,clear sky
327,Barcelos,PT,41.5388,-8.6151,287.23,90,75,5.82,broken clouds
328,Mount Darwin,ZW,-16.7725,31.5838,294.05,75,50,1.64,scattered clouds
329,Sorland,NO,67.667,12.6934,273.07,57,100,11.91,overcast clouds
330,Rio Gallegos,AR,-51.6226,-69.2181,289.18,25,20,22.64,few clouds
331,Salalah,OM,17.0151,54.0924,297.2,69,0,1.03,clear sky
332,Necochea,AR,-38.5473,-58.7368,296.5,34,12,3.45,few clouds
333,Kenai,US,60.5544,-151.2583,271.01,96,100,1.54,overcast clouds
334,High Level,CA,58.5169,-117.136,253.21,77,20,4.63,few clouds
335,Mandalgovi,MN,45.7625,106.2708,252.55,78,68,3.55,broken clouds
336,Codrington,AU,-38.2667,141.9667,288.7,91,60,3.13,broken clouds
337,Rudnichnyy,RU,59.617,52.4703,257.34,99,99,1.35,overcast clouds
338,Pimentel,PE,-6.8367,-79.9342,303.31,45,0,3.09,clear sky
339,Luwuk,ID,-0.9516,122.7875,298.16,84,100,0.64,overcast clouds
340,Ayan,RU,56.45,138.1667,250.26,83,6,2.96,clear sky
341,Pavlovskiy,RU,57.8424,54.8436,262.26,98,98,1.54,overcast clouds
342,Vardo,NO,70.3705,31.1107,269.14,68,0,8.23,clear sky
343,Asau,RO,46.4333,26.4,273.12,79,100,1.54,overcast clouds
344,Komsomolskiy,UZ,40.4272,71.7189,276.55,87,100,1.03,fog
345,Pontal Do Parana,BR,-25.6533,-48.5128,307.71,53,3,3.93,clear sky
346,Ust-Omchug,RU,61.15,149.6333,234.72,99,73,0.94,broken clouds
347,Nome,US,64.5011,-165.4064,247.13,69,0,0.0,clear sky
348,Jacareacanga,BR,-6.2222,-57.7528,301.93,76,100,1.38,overcast clouds
349,Vengurla,IN,15.8667,73.6333,298.68,68,1,3.25,clear sky
